order_no,time_type,order_state,receive_type,approve_date,created_at,driver_id,delivery_date,latest_delivery_date,accept_date,pickup_date,pass_date,local_area_flag
WS392Y,1,42,2,2022/12/3 0:04,2022/12/3 0:03,0,2022/12/3 0:39,2022/12/3 1:09,,,,0
DK810U,1,6,2,,2022/12/3 0:03,0,2022/12/3 0:39,2022/12/3 1:09,,,,0
ZS197O,1,4,2,2022/12/3 0:07,2022/12/3 0:07,24016,2022/12/3 1:05,2022/12/3 1:35,2022/12/3 0:56,2022/12/3 1:21,2022/12/3 1:35,0
DJ841T,1,4,2,2022/12/3 0:08,2022/12/3 0:08,813,2022/12/3 1:06,2022/12/3 1:36,2022/12/3 0:41,2022/12/3 1:07,2022/12/3 1:25,0
BS659N,1,4,2,2022/12/3 0:09,2022/12/3 0:09,24627,2022/12/3 0:40,2022/12/3 1:10,2022/12/3 0:21,2022/12/3 0:31,2022/12/3 0:38,0
VT306Z,2,4,2,2022/12/3 11:17,2022/12/3 0:14,65089,2022/12/3 12:45,2022/12/3 12:45,2022/12/3 11:18,2022/12/3 11:23,2022/12/3 13:11,0
UK831X,1,3,2,,2022/12/3 0:14,0,2022/12/3 0:42,2022/12/3 1:12,,,,0
VS954W,1,3,2,,2022/12/3 0:17,0,2022/12/3 0:50,2022/12/3 1:20,,,,0
YK247L,1,3,2,,2022/12/3 0:17,0,2022/12/3 0:55,2022/12/3 1:25,,,,0
OL573Z,1,4,2,2022/12/3 0:19,2022/12/3 0:19,41289,2022/12/3 0:47,2022/12/3 1:17,2022/12/3 0:25,2022/12/3 0:36,2022/12/3 0:43,0
QX638V,1,4,2,2022/12/3 0:26,2022/12/3 0:25,37968,2022/12/3 0:53,2022/12/3 1:23,2022/12/3 0:28,2022/12/3 0:36,2022/12/3 0:46,0
GE683I,1,3,2,,2022/12/3 0:25,0,2022/12/3 1:03,2022/12/3 1:33,,,,0
OZ210P,1,4,2,2022/12/3 0:27,2022/12/3 0:26,5817,2022/12/3 1:04,2022/12/3 1:34,2022/12/3 0:40,2022/12/3 0:48,2022/12/3 0:59,0
VT890G,1,4,2,2022/12/3 0:27,2022/12/3 0:27,6504,2022/12/3 0:50,2022/12/3 1:20,2022/12/3 0:31,2022/12/3 0:41,2022/12/3 0:53,0
LM947K,1,4,2,2022/12/3 0:27,2022/12/3 0:27,70168,2022/12/3 1:07,2022/12/3 1:37,2022/12/3 0:34,2022/12/3 0:48,2022/12/3 1:02,0
VR760F,1,3,2,,2022/12/3 0:28,0,2022/12/3 1:06,2022/12/3 1:36,,,,0
PY651Y,1,4,2,2022/12/3 0:31,2022/12/3 0:31,27601,2022/12/3 1:14,2022/12/3 1:44,2022/12/3 0:56,2022/12/3 1:12,2022/12/3 1:31,0
XO247G,1,4,2,2022/12/3 0:33,2022/12/3 0:33,15018,2022/12/3 1:11,2022/12/3 1:41,2022/12/3 0:47,2022/12/3 0:50,2022/12/3 1:09,0
HW829U,1,4,2,2022/12/3 0:33,2022/12/3 0:33,22515,2022/12/3 1:26,2022/12/3 1:56,2022/12/3 0:44,2022/12/3 0:55,2022/12/3 1:17,0
EC781T,1,3,2,,2022/12/3 0:37,0,2022/12/3 1:10,2022/12/3 1:40,,,,0
RX492H,1,4,2,2022/12/3 0:43,2022/12/3 0:43,6504,2022/12/3 1:21,2022/12/3 1:51,2022/12/3 0:54,2022/12/3 1:13,2022/12/3 1:28,0
VG428Q,1,4,2,2022/12/3 0:44,2022/12/3 0:43,60396,2022/12/3 1:06,2022/12/3 1:36,2022/12/3 0:48,2022/12/3 1:05,2022/12/3 1:11,0
PQ694T,1,4,2,2022/12/3 0:45,2022/12/3 0:44,9996,2022/12/3 1:12,2022/12/3 1:42,2022/12/3 0:48,2022/12/3 1:04,2022/12/3 1:15,0
PR927A,1,4,2,2022/12/3 0:44,2022/12/3 0:44,76301,2022/12/3 1:42,2022/12/3 2:12,2022/12/3 1:26,2022/12/3 1:41,2022/12/3 2:02,0
EM027W,1,4,2,2022/12/3 0:45,2022/12/3 0:45,62774,2022/12/3 1:38,2022/12/3 2:08,2022/12/3 0:45,2022/12/3 0:58,2022/12/3 1:20,0
EJ594W,1,6,2,,2022/12/3 0:48,0,2022/12/3 1:14,2022/12/3 1:44,,,,0
BY053M,1,4,2,2022/12/3 0:53,2022/12/3 0:52,22450,2022/12/3 1:30,2022/12/3 2:00,2022/12/3 1:06,2022/12/3 1:14,2022/12/3 1:31,0
EU324O,1,4,2,2022/12/3 0:54,2022/12/3 0:53,14802,2022/12/3 1:16,2022/12/3 1:46,2022/12/3 1:02,2022/12/3 1:19,2022/12/3 1:26,0
HG179Q,1,4,2,2022/12/3 0:54,2022/12/3 0:54,46709,2022/12/3 1:17,2022/12/3 1:47,2022/12/3 1:08,2022/12/3 1:19,2022/12/3 1:33,0
FU012R,1,6,2,,2022/12/3 0:55,0,2022/12/3 1:43,2022/12/3 2:13,,,,0
YE904J,1,4,2,2022/12/3 0:57,2022/12/3 0:57,70168,2022/12/3 1:25,2022/12/3 1:55,2022/12/3 1:03,2022/12/3 1:14,2022/12/3 1:21,0
GU203G,1,4,2,2022/12/3 1:00,2022/12/3 1:00,22760,2022/12/3 1:23,2022/12/3 1:53,2022/12/3 1:06,2022/12/3 1:27,2022/12/3 1:35,0
CA265T,1,4,2,2022/12/3 1:01,2022/12/3 1:01,27991,2022/12/3 1:44,2022/12/3 2:14,2022/12/3 1:02,2022/12/3 1:08,2022/12/3 1:28,0
WS189G,1,4,2,2022/12/3 1:09,2022/12/3 1:05,22515,2022/12/3 1:28,2022/12/3 1:58,2022/12/3 1:17,2022/12/3 1:21,2022/12/3 1:25,0
WU864R,1,4,2,2022/12/3 1:07,2022/12/3 1:06,46709,2022/12/3 1:39,2022/12/3 2:09,2022/12/3 1:33,2022/12/3 1:43,2022/12/3 1:55,0
VY384F,1,4,2,2022/12/3 1:09,2022/12/3 1:09,70168,2022/12/3 1:52,2022/12/3 2:22,2022/12/3 1:22,2022/12/3 1:33,2022/12/3 1:43,0
SI192D,1,4,2,2022/12/3 1:09,2022/12/3 1:09,31971,2022/12/3 2:00,2022/12/3 2:30,2022/12/3 1:20,2022/12/3 1:33,2022/12/3 1:50,0
RQ740O,1,4,2,2022/12/3 1:10,2022/12/3 1:10,74474,2022/12/3 1:38,2022/12/3 2:08,2022/12/3 1:18,2022/12/3 1:27,2022/12/3 1:49,0
MN928M,1,4,2,2022/12/3 1:14,2022/12/3 1:10,9996,2022/12/3 1:53,2022/12/3 2:23,2022/12/3 1:19,2022/12/3 1:39,2022/12/3 1:55,0
BY045G,1,4,2,2022/12/3 1:15,2022/12/3 1:15,22760,2022/12/3 2:03,2022/12/3 2:33,2022/12/3 1:35,2022/12/3 1:45,2022/12/3 2:09,0
TI176K,1,4,2,2022/12/3 1:19,2022/12/3 1:18,4939,2022/12/3 2:06,2022/12/3 2:36,2022/12/3 1:32,2022/12/3 1:40,2022/12/3 1:54,0
ZR342K,1,4,2,2022/12/3 1:22,2022/12/3 1:20,25618,2022/12/3 1:43,2022/12/3 2:13,2022/12/3 1:34,2022/12/3 1:41,2022/12/3 1:46,0
TB659D,1,4,2,2022/12/3 1:23,2022/12/3 1:21,14802,2022/12/3 1:49,2022/12/3 2:19,2022/12/3 1:27,2022/12/3 1:38,2022/12/3 1:48,0
TF139A,1,4,2,2022/12/3 1:23,2022/12/3 1:22,16123,2022/12/3 2:15,2022/12/3 2:45,2022/12/3 1:34,2022/12/3 1:47,2022/12/3 2:06,0
LW089Z,1,4,2,2022/12/3 1:26,2022/12/3 1:26,14973,2022/12/3 2:02,2022/12/3 2:32,2022/12/3 1:42,2022/12/3 1:51,2022/12/3 1:58,0
KV107O,1,3,2,,2022/12/3 1:26,0,2022/12/3 1:44,2022/12/3 2:14,,,,0
QP981S,1,4,2,2022/12/3 1:27,2022/12/3 1:27,23480,2022/12/3 1:59,2022/12/3 2:29,2022/12/3 1:35,2022/12/3 1:42,2022/12/3 1:53,0
YX963L,1,4,2,2022/12/3 1:29,2022/12/3 1:28,22515,2022/12/3 1:56,2022/12/3 2:26,2022/12/3 1:32,2022/12/3 1:38,2022/12/3 1:49,0
CZ328G,1,6,2,,2022/12/3 1:28,0,2022/12/3 2:00,2022/12/3 2:30,,,,0
VK691L,1,4,2,2022/12/3 1:33,2022/12/3 1:32,57687,2022/12/3 2:00,2022/12/3 2:30,2022/12/3 1:36,2022/12/3 1:45,2022/12/3 1:57,0
VG501J,1,3,2,,2022/12/3 1:32,0,2022/12/3 1:50,2022/12/3 2:20,,,,0
LI876B,1,4,2,2022/12/3 1:33,2022/12/3 1:33,62774,2022/12/3 2:14,2022/12/3 2:44,2022/12/3 1:45,2022/12/3 1:55,2022/12/3 2:09,0
HP416U,1,3,2,,2022/12/3 1:39,0,2022/12/3 1:57,2022/12/3 2:27,,,,0
HR167H,1,4,2,2022/12/3 1:40,2022/12/3 1:40,15018,2022/12/3 2:12,2022/12/3 2:42,2022/12/3 1:49,2022/12/3 1:56,2022/12/3 2:04,0
PU235P,1,3,2,,2022/12/3 1:40,0,2022/12/3 2:45,2022/12/3 3:15,,,,0
