order_no,time_type,order_state,receive_type,approve_date,created_at,driver_id,delivery_date,latest_delivery_date,accept_date,pickup_date,pass_date,local_area_flag
BY534M,1,4,2,2022/12/1 0:00,2022/12/1 0:00,5606,2022/12/1 0:53,2022/12/1 1:23,2022/12/1 0:07,2022/12/1 0:23,2022/12/1 0:44,0
GV384O,1,4,2,2022/12/1 0:12,2022/12/1 0:03,76304,2022/12/1 0:36,2022/12/1 1:06,2022/12/1 0:14,2022/12/1 0:26,2022/12/1 0:48,0
WK460E,1,4,2,2022/12/1 0:06,2022/12/1 0:05,17544,2022/12/1 0:48,2022/12/1 1:18,2022/12/1 0:13,2022/12/1 0:17,2022/12/1 0:32,0
LH063F,1,4,2,2022/12/1 0:06,2022/12/1 0:06,15018,2022/12/1 0:49,2022/12/1 1:19,2022/12/1 0:10,2022/12/1 0:16,2022/12/1 0:45,0
DK120M,1,4,2,2022/12/1 0:09,2022/12/1 0:07,26444,2022/12/1 0:35,2022/12/1 1:05,2022/12/1 0:11,2022/12/1 0:38,2022/12/1 0:43,0
XD479O,1,4,2,2022/12/1 0:10,2022/12/1 0:10,32247,2022/12/1 0:32,2022/12/1 1:02,2022/12/1 0:15,2022/12/1 0:29,2022/12/1 0:35,0
GY845H,1,4,2,2022/12/1 0:14,2022/12/1 0:14,44484,2022/12/1 0:37,2022/12/1 1:07,2022/12/1 0:18,2022/12/1 0:27,2022/12/1 0:37,0
KU273K,1,4,2,2022/12/1 0:17,2022/12/1 0:17,1217,2022/12/1 0:45,2022/12/1 1:15,2022/12/1 0:25,2022/12/1 0:40,2022/12/1 0:47,0
FB438K,1,4,2,2022/12/1 0:21,2022/12/1 0:19,5817,2022/12/1 0:52,2022/12/1 1:22,2022/12/1 0:30,2022/12/1 0:35,2022/12/1 0:42,0
CV723Y,1,4,2,2022/12/1 0:21,2022/12/1 0:21,14973,2022/12/1 0:39,2022/12/1 1:09,2022/12/1 0:22,2022/12/1 0:35,2022/12/1 0:41,0
ZI861X,1,4,2,2022/12/1 0:21,2022/12/1 0:21,41289,2022/12/1 0:54,2022/12/1 1:24,2022/12/1 0:30,2022/12/1 0:39,2022/12/1 0:48,0
LH841F,1,4,2,2022/12/1 0:24,2022/12/1 0:24,38501,2022/12/1 0:47,2022/12/1 1:17,2022/12/1 0:28,2022/12/1 0:44,2022/12/1 1:15,0
AK928L,1,4,2,2022/12/1 0:26,2022/12/1 0:26,46709,2022/12/1 1:04,2022/12/1 1:34,2022/12/1 0:30,2022/12/1 0:46,2022/12/1 1:01,0
NJ815A,1,4,2,2022/12/1 0:30,2022/12/1 0:30,62064,2022/12/1 0:56,2022/12/1 1:26,2022/12/1 0:37,2022/12/1 0:40,2022/12/1 0:48,0
WH758L,1,6,2,,2022/12/1 0:31,0,2022/12/1 1:29,2022/12/1 1:59,,,,0
HQ359G,1,4,2,2022/12/1 0:33,2022/12/1 0:32,27843,2022/12/1 1:00,2022/12/1 1:30,2022/12/1 0:36,2022/12/1 0:54,2022/12/1 1:17,0
JX381O,1,4,2,2022/12/1 0:33,2022/12/1 0:33,26871,2022/12/1 1:01,2022/12/1 1:31,2022/12/1 0:42,2022/12/1 0:46,2022/12/1 0:53,0
XD820R,1,4,2,2022/12/1 0:36,2022/12/1 0:35,44484,2022/12/1 1:17,2022/12/1 1:47,2022/12/1 0:43,2022/12/1 1:00,2022/12/1 1:22,0
LY083A,1,3,2,,2022/12/1 0:37,0,2022/12/1 1:05,2022/12/1 1:35,,,,0
NS540U,1,4,2,2022/12/1 0:43,2022/12/1 0:42,15018,2022/12/1 1:13,2022/12/1 1:43,2022/12/1 0:47,2022/12/1 1:02,2022/12/1 1:15,0
WT683V,1,4,2,2022/12/1 0:47,2022/12/1 0:47,16677,2022/12/1 1:10,2022/12/1 1:40,2022/12/1 0:48,2022/12/1 0:58,2022/12/1 1:05,0
AH123U,1,4,2,2022/12/1 0:49,2022/12/1 0:47,3001,2022/12/1 1:28,2022/12/1 1:58,2022/12/1 1:04,2022/12/1 1:16,2022/12/1 1:40,0
GO052G,1,4,2,2022/12/1 0:48,2022/12/1 0:47,23374,2022/12/1 1:35,2022/12/1 2:05,2022/12/1 1:01,2022/12/1 1:18,2022/12/1 1:38,0
KV437B,1,4,2,2022/12/1 0:54,2022/12/1 0:50,24016,2022/12/1 1:18,2022/12/1 1:48,2022/12/1 0:55,2022/12/1 1:00,2022/12/1 1:08,0
WZ832J,1,3,2,,2022/12/1 0:51,0,2022/12/1 1:34,2022/12/1 2:04,,,,0
FD741R,1,4,2,2022/12/1 0:52,2022/12/1 0:52,14802,2022/12/1 1:20,2022/12/1 1:50,2022/12/1 1:12,2022/12/1 1:20,2022/12/1 1:31,0
TV594N,1,4,2,2022/12/1 0:52,2022/12/1 0:52,62774,2022/12/1 1:20,2022/12/1 1:50,2022/12/1 0:53,2022/12/1 0:58,2022/12/1 1:10,0
QP967V,1,4,2,2022/12/1 0:56,2022/12/1 0:52,10238,2022/12/1 1:25,2022/12/1 1:55,2022/12/1 1:00,2022/12/1 1:08,2022/12/1 1:17,0
XO028A,1,4,2,2022/12/1 0:56,2022/12/1 0:53,26444,2022/12/1 1:13,2022/12/1 1:43,2022/12/1 0:57,2022/12/1 1:05,2022/12/1 1:11,0
TK081O,1,6,2,,2022/12/1 0:54,0,2022/12/1 1:17,2022/12/1 1:47,,,,0
CP219G,1,4,2,2022/12/1 0:58,2022/12/1 0:57,2113,2022/12/1 2:00,2022/12/1 2:30,2022/12/1 1:15,2022/12/1 1:25,2022/12/1 1:46,0
KC157W,1,4,2,2022/12/1 1:07,2022/12/1 1:06,16677,2022/12/1 1:54,2022/12/1 2:24,2022/12/1 1:16,2022/12/1 1:23,2022/12/1 1:40,0
ST863F,1,4,2,2022/12/1 1:14,2022/12/1 1:13,42616,2022/12/1 1:36,2022/12/1 2:06,2022/12/1 1:17,2022/12/1 1:23,2022/12/1 1:29,0
HX286V,1,4,2,2022/12/1 1:15,2022/12/1 1:14,26871,2022/12/1 2:02,2022/12/1 2:32,2022/12/1 1:17,2022/12/1 1:25,2022/12/1 1:47,0
MI368V,1,4,2,2022/12/1 1:15,2022/12/1 1:15,15018,2022/12/1 1:38,2022/12/1 2:08,2022/12/1 1:18,2022/12/1 1:29,2022/12/1 1:38,0
BG203E,1,4,2,2022/12/1 1:17,2022/12/1 1:15,73709,2022/12/1 1:43,2022/12/1 2:13,2022/12/1 1:19,2022/12/1 1:30,2022/12/1 1:54,0
EX103W,1,4,2,2022/12/1 1:17,2022/12/1 1:16,14973,2022/12/1 1:49,2022/12/1 2:19,2022/12/1 1:21,2022/12/1 1:33,2022/12/1 1:51,0
LF063X,1,4,2,2022/12/1 1:18,2022/12/1 1:17,3667,2022/12/1 1:55,2022/12/1 2:25,2022/12/1 1:29,2022/12/1 1:38,2022/12/1 1:53,0
FZ657E,1,4,2,2022/12/1 1:18,2022/12/1 1:18,799,2022/12/1 2:06,2022/12/1 2:36,2022/12/1 1:52,2022/12/1 2:16,2022/12/1 2:32,0
