order_no,time_type,order_state,receive_type,approve_date,created_at,driver_id,delivery_date,latest_delivery_date,accept_date,pickup_date,pass_date,local_area_flag
DR052T,1,4,2,2022/12/2 0:05,2022/12/2 0:03,14973,2022/12/2 0:26,2022/12/2 0:56,2022/12/2 0:07,2022/12/2 0:14,2022/12/2 0:27,0
CQ719U,1,4,2,2022/12/2 0:06,2022/12/2 0:04,23268,2022/12/2 0:32,2022/12/2 1:02,2022/12/2 0:08,2022/12/2 0:13,2022/12/2 0:29,0
LR068S,1,4,2,2022/12/2 0:06,2022/12/2 0:06,38501,2022/12/2 0:39,2022/12/2 1:09,2022/12/2 0:11,2022/12/2 0:24,2022/12/2 0:43,0
HD164B,1,4,2,2022/12/2 0:09,2022/12/2 0:09,62774,2022/12/2 0:57,2022/12/2 1:27,2022/12/2 0:17,2022/12/2 0:24,2022/12/2 0:43,0
GQ279H,1,4,2,2022/12/2 0:10,2022/12/2 0:10,59074,2022/12/2 0:36,2022/12/2 1:06,2022/12/2 0:17,2022/12/2 0:19,2022/12/2 0:26,0
UC673T,1,4,2,2022/12/2 0:11,2022/12/2 0:10,57687,2022/12/2 0:38,2022/12/2 1:08,2022/12/2 0:12,2022/12/2 0:19,2022/12/2 0:27,0
JT583Q,1,4,2,2022/12/2 0:12,2022/12/2 0:10,61492,2022/12/2 0:38,2022/12/2 1:08,2022/12/2 0:13,2022/12/2 0:19,2022/12/2 0:31,0
ZK457S,1,4,2,2022/12/2 0:14,2022/12/2 0:12,57175,2022/12/2 1:00,2022/12/2 1:30,2022/12/2 0:24,2022/12/2 0:41,2022/12/2 1:08,0
FO847T,1,4,2,2022/12/2 0:16,2022/12/2 0:16,23366,2022/12/2 0:49,2022/12/2 1:19,2022/12/2 0:27,2022/12/2 0:38,2022/12/2 0:47,0
MD193C,1,4,2,2022/12/2 0:19,2022/12/2 0:19,2165,2022/12/2 0:51,2022/12/2 1:21,2022/12/2 0:27,2022/12/2 0:45,2022/12/2 0:54,0
HI478G,1,3,2,,2022/12/2 0:20,0,2022/12/2 1:13,2022/12/2 1:43,,,,0
ZG691A,1,4,2,2022/12/2 0:23,2022/12/2 0:22,37551,2022/12/2 0:50,2022/12/2 1:20,2022/12/2 0:33,2022/12/2 0:43,2022/12/2 0:52,0
AO502F,1,4,2,2022/12/2 0:23,2022/12/2 0:23,33464,2022/12/2 1:14,2022/12/2 1:44,2022/12/2 0:33,2022/12/2 0:42,2022/12/2 0:59,0
EX980R,1,4,2,2022/12/2 0:24,2022/12/2 0:24,58986,2022/12/2 0:42,2022/12/2 1:12,2022/12/2 0:25,2022/12/2 0:34,2022/12/2 0:41,0
UM610R,1,4,2,2022/12/2 0:24,2022/12/2 0:24,42557,2022/12/2 0:47,2022/12/2 1:17,2022/12/2 0:29,2022/12/2 0:38,2022/12/2 0:46,0
DU140O,1,4,2,2022/12/2 0:26,2022/12/2 0:26,13882,2022/12/2 1:07,2022/12/2 1:37,2022/12/2 0:32,2022/12/2 0:42,2022/12/2 1:03,0
BA612H,1,4,2,2022/12/2 0:27,2022/12/2 0:26,23268,2022/12/2 1:09,2022/12/2 1:39,2022/12/2 0:31,2022/12/2 0:37,2022/12/2 0:59,0
XW427F,1,6,2,,2022/12/2 0:30,0,2022/12/2 0:44,2022/12/2 1:14,,,,0
