order_id	order_no	user_id	shop_id	cart_item_list	item_total_price	tax_rate	sales_tax	user_coupon_id	discount_code	discount_price	total_price	time_type	order_state	receive_type	order_date	receive_date	approve_date	finish_date	created_at	updated_at	driver_id	delivery_charge	original_item_total_price	delivery_date	latest_delivery_date	accept_date	pickup_date	arrive_date	pass_date	item_discount_price	shop_delivery_area_id	user_delivery_area_id	local_area_flag
3996673	DY596N	5.24025E+15	55876		530	1.08	0	6635764	sorry-00001	500	0	1	4	1	2021/9/28 0:00	2021/9/28 0:18	2021/9/28 0:01	2021/9/28 0:08	2021/9/28 0:00	2021/9/28 0:08										0			0
3996674	NW375F	4.62532E+15	36858		1980	1.08	0	16664051	DELI-CGHY3958	500	0	1	4	2	2021/9/28 0:03	2021/9/28 0:28	2021/9/28 0:04	2021/9/28 0:21	2021/9/28 0:03	2021/9/28 0:21	26871	700	1980	2021/9/28 0:48	2021/9/28 1:18	2021/9/28 0:19	2021/9/28 0:30		2021/9/28 0:48	0	5	3	0
3996675	EI791I	5.95095E+15	2302		1650	1.08	0	16658159	DELI-HALF-HL913B	400	0	1	4	2	2021/9/28 0:06	2021/9/28 0:49	2021/9/28 0:06	2021/9/28 0:36	2021/9/28 0:06	2021/9/28 0:36	23820	500	1650	2021/9/28 0:59	2021/9/28 1:29	2021/9/28 0:36	2021/9/28 0:49		2021/9/28 0:56	0	3	3	0
3996676	RZ846S	4.9329E+15	25012		950	1.08	0			0	0	1	4	2	2021/9/28 0:12	2021/9/28 0:35	2021/9/28 0:14	2021/9/28 0:15	2021/9/28 0:12	2021/9/28 0:15	21527	550	950	2021/9/28 0:50	2021/9/28 1:20	2021/9/28 0:15	2021/9/28 0:24		2021/9/28 0:33	0	9	2	0
3996677	NX047Y	4.9329E+15	17992		1100	1.08	0			0	0	1	4	2	2021/9/28 0:17	2021/9/28 0:35	2021/9/28 0:17	2021/9/28 0:23	2021/9/28 0:17	2021/9/28 0:23	12646	600	1100	2021/9/28 0:50	2021/9/28 1:20	2021/9/28 0:24	2021/9/28 0:32		2021/9/28 0:50	0	9	2	0
3996678	IY750L	4.86253E+15	45123		1100	1.08	0			0	0	1	4	2	2021/9/28 0:26	2021/9/28 0:39	2021/9/28 0:27	2021/9/28 0:31	2021/9/28 0:26	2021/9/28 0:31	23256	550	1100	2021/9/28 0:54	2021/9/28 1:24	2021/9/28 0:32	2021/9/28 0:57		2021/9/28 1:22	0	4	41	0
3996679	RS823V	5.93662E+15	71378		2010	1.08	0			0	0	1	4	2	2021/9/28 0:33	2021/9/28 0:51	2021/9/28 0:33	2021/9/28 0:40	2021/9/28 0:33	2021/9/28 0:40	9358	650	2010	2021/9/28 1:11	2021/9/28 1:41	2021/9/28 0:41	2021/9/28 0:54		2021/9/28 1:06	100	23	3	0
3996680	IJ165N	6.47301E+15	35889		1270	1.08	0			0	0	1	4	2	2021/9/28 0:33	2021/9/28 1:06	2021/9/28 0:34	2021/9/28 0:41	2021/9/28 0:33	2021/9/28 0:41	8723	700	1270	2021/9/28 1:26	2021/9/28 1:56	2021/9/28 0:41	2021/9/28 0:55		2021/9/28 1:07	0	5	6	0
3996681	SB409Q	6.23779E+15	3447		2250	1.08	0			0	0	1	4	2	2021/9/28 0:36	2021/9/28 0:54	2021/9/28 0:36	2021/9/28 0:56	2021/9/28 0:36	2021/9/28 0:56	27590	600	2250	2021/9/28 1:09	2021/9/28 1:39	2021/9/28 0:45	2021/9/28 0:56		2021/9/28 1:06	112	3	22	0
3996682	HX521U	5.72499E+15	73986		1380	1.08	0			0	0	1	4	2	2021/9/28 0:42	2021/9/28 0:52	2021/9/28 0:43	2021/9/28 1:01	2021/9/28 0:42	2021/9/28 1:01	23408	500	1380	2021/9/28 1:02	2021/9/28 1:32	2021/9/28 0:44	2021/9/28 1:01		2021/9/28 1:11	0	1	10	0
