user_delivery_area_id,daily_avg_orders
1.0,120.5
2.0,144.25
3.0,169.0
4.0,85.75
5.0,37.5
6.0,63.75
7.0,140.75
8.0,119.75
9.0,150.5
10.0,144.25
11.0,72.75
12.0,78.25
13.0,43.25
14.0,115.75
15.0,24.75
16.0,92.25
17.0,126.25
18.0,113.0
19.0,86.25
20.0,99.75
21.0,83.25
22.0,94.75
23.0,186.25
24.0,143.0
25.0,70.5
26.0,104.25
27.0,146.5
28.0,143.0
29.0,82.75
30.0,77.5
31.0,17.5
32.0,27.75
33.0,28.0
34.0,47.5
35.0,55.5
36.0,52.5
37.0,84.25
38.0,53.5
39.0,83.0
40.0,99.75
41.0,101.0
42.0,137.5
43.0,82.0
44.0,95.75
45.0,93.0
46.0,87.25
47.0,81.0
48.0,53.0
49.0,74.0
50.0,27.0
51.0,42.0
52.0,23.0
53.0,93.25
54.0,17.25
55.0,39.5
56.0,24.5
57.0,22.0
58.0,20.0
59.0,22.0
60.0,22.5
61.0,37.25
62.0,66.25
63.0,41.0
64.0,16.5
65.0,58.5
66.0,85.25
67.0,77.25
68.0,36.75
69.0,43.0
70.0,79.0
71.0,76.0
72.0,31.0
73.0,49.25
74.0,26.75
75.0,43.5
76.0,19.25
77.0,11.75
78.0,21.75
79.0,33.75
80.0,62.5
81.0,25.5
82.0,13.75
83.0,31.25
84.0,55.0
85.0,30.25
86.0,24.0
87.0,14.75
88.0,38.25
89.0,43.25
90.0,30.0
91.0,15.25
92.0,73.75
93.0,48.5
94.0,53.5
95.0,65.5
96.0,73.5
97.0,63.5
98.0,28.5
99.0,61.25
100.0,55.5
101.0,55.75
102.0,33.75
10001.0,38.25
10002.0,24.5
10003.0,50.75
10004.0,14.5
10005.0,9.25
10006.0,2.0
10007.0,13.5
10008.0,14.5
10009.0,9.25
10010.0,12.5
10011.0,39.0
10012.0,17.75
10013.0,27.5
10014.0,16.75
10015.0,1.0
10016.0,10.0
10017.0,3.0
10020.0,1.0
10028.0,1.0
10029.0,1.0
10031.0,1.5
10032.0,14.333333333333334
10034.0,1.0
10035.0,2.5
10037.0,4.0
10040.0,1.0
10042.0,5.5
10043.0,13.25
10044.0,3.5
10045.0,12.25
10046.0,1.0
10047.0,2.6666666666666665
20001.0,1.0
20004.0,3.3333333333333335
20006.0,6.666666666666667
30001.0,2.0
30004.0,2.0
30005.0,2.0
40001.0,10.25
40002.0,8.25
40003.0,33.0
40004.0,34.5
40005.0,12.75
40006.0,20.5
40007.0,23.5
40027.0,1.0
40028.0,1.0
50001.0,3.75
50002.0,1.6666666666666667
