driver_id,order_no,shop_arrival_at,created_at
57687,OZ035J,2022/12/2 0:00,2022/12/2 0:00
77705,UG358N,2022/12/2 0:00,2022/12/2 0:00
813,LR956F,2022/12/2 0:00,2022/12/2 0:00
23765,DT578K,2022/12/2 0:01,2022/12/2 0:01
57974,UI479A,2022/12/2 0:01,2022/12/2 0:01
4266,NC172V,2022/12/2 0:02,2022/12/2 0:02
9996,HM980X,2022/12/2 0:03,2022/12/2 0:03
33464,LA513T,2022/12/2 0:06,2022/12/2 0:06
4939,OR524R,2022/12/2 0:06,2022/12/2 0:06
52263,IQ805T,2022/12/2 0:07,2022/12/2 0:07
13244,YB854Y,2022/12/2 0:07,2022/12/2 0:07
45360,DQ269U,2022/12/2 0:08,2022/12/2 0:08
77740,MS458J,2022/12/2 0:08,2022/12/2 0:08
60396,LW196G,2022/12/2 0:11,2022/12/2 0:11
359,LK607S,2022/12/2 0:11,2022/12/2 0:11
23268,CQ719U,2022/12/2 0:11,2022/12/2 0:11
14973,DR052T,2022/12/2 0:11,2022/12/2 0:11
57687,UC673T,2022/12/2 0:12,2022/12/2 0:12
23820,YV586A,2022/12/2 0:14,2022/12/2 0:14
23733,NJ924N,2022/12/2 0:16,2022/12/2 0:16
59074,GQ279H,2022/12/2 0:17,2022/12/2 0:17
61492,JT583Q,2022/12/2 0:17,2022/12/2 0:17
38501,LR068S,2022/12/2 0:19,2022/12/2 0:19
62774,HD164B,2022/12/2 0:22,2022/12/2 0:22
58986,EX980R,2022/12/2 0:31,2022/12/2 0:31
2165,MD193C,2022/12/2 0:31,2022/12/2 0:31
23268,BA612H,2022/12/2 0:34,2022/12/2 0:34
23366,FO847T,2022/12/2 0:34,2022/12/2 0:34
37551,ZG691A,2022/12/2 0:37,2022/12/2 0:37
57175,ZK457S,2022/12/2 0:38,2022/12/2 0:38
42557,UM610R,2022/12/2 0:38,2022/12/2 0:38
33464,AO502F,2022/12/2 0:39,2022/12/2 0:39
13882,DU140O,2022/12/2 0:41,2022/12/2 0:41
61492,JG547A,2022/12/2 0:44,2022/12/2 0:44
58986,TU320A,2022/12/2 0:44,2022/12/2 0:44
41289,TK538H,2022/12/2 0:45,2022/12/2 0:45
9996,OK054S,2022/12/2 0:45,2022/12/2 0:45
22515,EL824L,2022/12/2 0:52,2022/12/2 0:52
59074,KX268C,2022/12/2 0:53,2022/12/2 0:53
62547,TF849D,2022/12/2 0:59,2022/12/2 0:59
2165,SQ472B,2022/12/2 1:01,2022/12/2 1:01
41289,GQ647S,2022/12/2 1:01,2022/12/2 1:01
1217,YW861Z,2022/12/2 1:02,2022/12/2 1:02
22760,RP519X,2022/12/2 1:04,2022/12/2 1:04
3044,HU724M,2022/12/2 1:04,2022/12/2 1:04
44484,DM041D,2022/12/2 1:04,2022/12/2 1:04
62774,RV182T,2022/12/2 1:06,2022/12/2 1:06
38501,FP354J,2022/12/2 1:07,2022/12/2 1:07
2202,EQ385B,2022/12/2 1:08,2022/12/2 1:08
67812,IC632S,2022/12/2 1:10,2022/12/2 1:10
38659,UO489A,2022/12/2 1:15,2022/12/2 1:15
58986,YV012V,2022/12/2 1:17,2022/12/2 1:17
61492,OW420Q,2022/12/2 1:17,2022/12/2 1:17
41289,AM843J,2022/12/2 1:18,2022/12/2 1:18
44484,TK930L,2022/12/2 1:18,2022/12/2 1:18
72261,PI297C,2022/12/2 1:20,2022/12/2 1:20
1217,YJ850G,2022/12/2 1:21,2022/12/2 1:21
2165,OF706Z,2022/12/2 1:25,2022/12/2 1:25
3667,QD103S,2022/12/2 1:25,2022/12/2 1:25
22760,GA236I,2022/12/2 1:36,2022/12/2 1:36
14973,GV534F,2022/12/2 1:40,2022/12/2 1:40
35316,OP487N,2022/12/2 1:41,2022/12/2 1:41
13439,CE651H,2022/12/2 1:41,2022/12/2 1:41
3667,TQ136O,2022/12/2 1:43,2022/12/2 1:43
52263,WT436L,2022/12/2 1:44,2022/12/2 1:44
41289,YZ359T,2022/12/2 1:47,2022/12/2 1:47
4939,NA183N,2022/12/2 1:47,2022/12/2 1:47
62547,DN378B,2022/12/2 1:49,2022/12/2 1:49
1217,NR927K,2022/12/2 2:00,2022/12/2 2:00
41289,QS401K,2022/12/2 2:04,2022/12/2 2:04
35316,OI216Y,2022/12/2 2:05,2022/12/2 2:05
52263,VY490G,2022/12/2 2:08,2022/12/2 2:08
22760,RL564W,2022/12/2 2:12,2022/12/2 2:12
2165,FD567Q,2022/12/2 2:19,2022/12/2 2:19
60396,UY829W,2022/12/2 2:23,2022/12/2 2:23
10239,OB605E,2022/12/2 2:28,2022/12/2 2:28
67670,WP962G,2022/12/2 2:29,2022/12/2 2:29
14973,NL450J,2022/12/2 2:30,2022/12/2 2:30
49854,JK731Q,2022/12/2 2:37,2022/12/2 2:37
41289,QO405P,2022/12/2 2:38,2022/12/2 2:38
22760,NM810O,2022/12/2 2:40,2022/12/2 2:40
35316,YH870Q,2022/12/2 2:46,2022/12/2 2:46
41885,DC410B,2022/12/2 2:53,2022/12/2 2:53
2113,ZO139Z,2022/12/2 3:01,2022/12/2 3:01
49854,LA407A,2022/12/2 3:02,2022/12/2 3:02
41289,LK486L,2022/12/2 3:04,2022/12/2 3:04
41289,HE879U,2022/12/2 3:07,2022/12/2 3:07
13870,GR126C,2022/12/2 3:10,2022/12/2 3:10
12490,IQ861E,2022/12/2 3:11,2022/12/2 3:11
35316,XU526M,2022/12/2 3:15,2022/12/2 3:15
14973,HW459X,2022/12/2 3:20,2022/12/2 3:20
62774,PR736B,2022/12/2 3:26,2022/12/2 3:26
41885,NS350L,2022/12/2 3:26,2022/12/2 3:26
2113,NI857Q,2022/12/2 3:30,2022/12/2 3:30
13870,AX287N,2022/12/2 3:33,2022/12/2 3:33
26064,OM193W,2022/12/2 3:33,2022/12/2 3:33
35316,MK267K,2022/12/2 3:35,2022/12/2 3:35
67670,HN623R,2022/12/2 3:35,2022/12/2 3:35
799,SD927H,2022/12/2 3:35,2022/12/2 3:35
22760,OA047V,2022/12/2 3:37,2022/12/2 3:37
65032,AS921S,2022/12/2 3:37,2022/12/2 3:37
12490,RJ139O,2022/12/2 3:44,2022/12/2 3:44
49854,HW457B,2022/12/2 3:47,2022/12/2 3:47
13870,OS908A,2022/12/2 3:54,2022/12/2 3:54
62774,JL719U,2022/12/2 3:54,2022/12/2 3:54
35316,WU395H,2022/12/2 3:57,2022/12/2 3:57
41885,YQ834E,2022/12/2 3:59,2022/12/2 3:59
799,ZF076Q,2022/12/2 4:02,2022/12/2 4:02
25484,JT418B,2022/12/2 4:03,2022/12/2 4:03
2113,LV802R,2022/12/2 4:06,2022/12/2 4:06
12490,SA026H,2022/12/2 4:07,2022/12/2 4:07
49854,AT295P,2022/12/2 4:12,2022/12/2 4:12
62774,AP923R,2022/12/2 4:13,2022/12/2 4:13
41885,OJ278P,2022/12/2 4:19,2022/12/2 4:19
799,RB846E,2022/12/2 4:21,2022/12/2 4:21
49854,TI045X,2022/12/2 4:24,2022/12/2 4:24
62774,RN149P,2022/12/2 4:24,2022/12/2 4:24
65032,GS032X,2022/12/2 4:27,2022/12/2 4:27
13870,QG405I,2022/12/2 4:28,2022/12/2 4:28
2113,ZK250P,2022/12/2 4:31,2022/12/2 4:31
41885,KN903A,2022/12/2 4:38,2022/12/2 4:38
25484,HA924N,2022/12/2 4:43,2022/12/2 4:43
3001,HV496B,2022/12/2 4:43,2022/12/2 4:43
67670,VP560E,2022/12/2 4:47,2022/12/2 4:47
12490,FK478L,2022/12/2 4:47,2022/12/2 4:47
799,BO687B,2022/12/2 4:54,2022/12/2 4:54
13870,WH248E,2022/12/2 4:59,2022/12/2 4:59
12490,SQ102J,2022/12/2 4:59,2022/12/2 4:59
65032,ND053Y,2022/12/2 5:06,2022/12/2 5:06
67670,HK049Q,2022/12/2 5:07,2022/12/2 5:07
799,JT123X,2022/12/2 5:18,2022/12/2 5:18
2113,OS096G,2022/12/2 5:21,2022/12/2 5:21
65032,WG560J,2022/12/2 5:31,2022/12/2 5:31
4337,GM134M,2022/12/2 5:44,2022/12/2 5:44
799,NH920D,2022/12/2 5:47,2022/12/2 5:47
13870,ZS987O,2022/12/2 5:49,2022/12/2 5:49
65032,GW435A,2022/12/2 5:53,2022/12/2 5:53
31971,EA589T,2022/12/2 6:04,2022/12/2 6:04
70277,XU387J,2022/12/2 6:07,2022/12/2 6:07
799,ZT419B,2022/12/2 6:08,2022/12/2 6:08
13870,WR405T,2022/12/2 6:14,2022/12/2 6:14
65032,VO916Z,2022/12/2 6:26,2022/12/2 6:26
70445,DW025V,2022/12/2 6:28,2022/12/2 6:28
799,RA640H,2022/12/2 6:38,2022/12/2 6:38
70277,XL081Z,2022/12/2 6:39,2022/12/2 6:39
13870,KQ219F,2022/12/2 6:41,2022/12/2 6:41
70445,IZ916F,2022/12/2 6:48,2022/12/2 6:48
65032,DB413X,2022/12/2 6:51,2022/12/2 6:51
31971,DK179G,2022/12/2 6:52,2022/12/2 6:52
869,DT716D,2022/12/2 6:57,2022/12/2 6:57
70445,NU673S,2022/12/2 7:03,2022/12/2 7:03
16677,CI260Z,2022/12/2 7:07,2022/12/2 7:07
70277,NK439P,2022/12/2 7:10,2022/12/2 7:10
65032,CF419Q,2022/12/2 7:10,2022/12/2 7:10
20211,YW506D,2022/12/2 7:14,2022/12/2 7:14
3001,MF264K,2022/12/2 7:15,2022/12/2 7:15
70445,PD982S,2022/12/2 7:18,2022/12/2 7:18
65032,YM942S,2022/12/2 7:18,2022/12/2 7:18
31971,QH071V,2022/12/2 7:24,2022/12/2 7:24
869,NU840I,2022/12/2 7:29,2022/12/2 7:29
16677,QM641Q,2022/12/2 7:30,2022/12/2 7:30
65032,OC781D,2022/12/2 7:33,2022/12/2 7:33
77740,RO510V,2022/12/2 7:34,2022/12/2 7:34
10828,TG952H,2022/12/2 7:40,2022/12/2 7:40
20211,FR630G,2022/12/2 7:45,2022/12/2 7:45
15485,WR125A,2022/12/2 7:47,2022/12/2 7:47
70168,EI416U,2022/12/2 7:48,2022/12/2 7:48
16677,ZV921Q,2022/12/2 7:51,2022/12/2 7:51
26382,GC412P,2022/12/2 7:53,2022/12/2 7:53
65032,RZ945N,2022/12/2 7:58,2022/12/2 7:58
16677,PA263M,2022/12/2 8:00,2022/12/2 8:00
3176,TS867Y,2022/12/2 8:02,2022/12/2 8:02
26871,TG345I,2022/12/2 8:06,2022/12/2 8:06
31299,HS723O,2022/12/2 8:07,2022/12/2 8:07
70168,RU709L,2022/12/2 8:15,2022/12/2 8:15
4266,CH735B,2022/12/2 8:15,2022/12/2 8:15
33490,FN491N,2022/12/2 8:18,2022/12/2 8:18
20211,HW915K,2022/12/2 8:20,2022/12/2 8:20
15924,TU518H,2022/12/2 8:22,2022/12/2 8:22
15485,IS298X,2022/12/2 8:23,2022/12/2 8:23
53570,JL621C,2022/12/2 8:25,2022/12/2 8:25
31299,HL486L,2022/12/2 8:25,2022/12/2 8:25
